"сверло ц/х ф8,50 Р6М5К5 А1",AG-000172PR,5
"сверло ц/х ф8,60 Р6М5К5 А1",AG-000173PR,5
"сверло ц/х ф8,70 Р6М5К5 А1",AG-000174PR,5
"сверло ц/х ф8,80 Р6М5К5 А1",AG-000175PR,5
"сверло ц/х ф8,90 Р6М5К5 А1",AG-000176PR,5
"сверло ц/х ф9,00 Р6М5К5 А1",AG-000177PR,5
"сверло ц/х ф9,10 Р6М5К5 А1",AG-000178PR,5
"сверло ц/х ф9,20 Р6М5К5 А1",AG-000179PR,5
"сверло ц/х ф9,30 Р6М5К5 А1",AG-000180PR,5
"сверло ц/х ф9,40 Р6М5К5 А1",AG-000181PR,5
"сверло ц/х ф9,50 Р6М5К5 А1",AG-000182PR,5
"сверло ц/х ф9,60 Р6М5К5 А1",AG-000183PR,5
"сверло ц/х ф9,70 Р6М5К5 А1",AG-000184PR,5
"сверло ц/х ф9,80 Р6М5К5 А1",AG-000185PR,5
"сверло ц/х ф9,90 Р6М5К5 А1",AG-000186PR,5
"сверло ц/х ф10,00 Р6М5К5 А1",AG-000187PR,5
"сверло ц/х ф10,10 Р6М5К5 А1",AG-000188PR,1
"сверло ц/х ф10,20 Р6М5К5 А1",AG-000189PR,1
"сверло ц/х ф10,30 Р6М5К5 А1",AG-000190PR,1
"сверло ц/х ф10,40 Р6М5К5 А1",AG-000191PR,1
"сверло ц/х ф10,50 Р6М5К5 А1",AG-000192PR,1
"сверло ц/х ф10,60 Р6М5К5 А1",AG-000193PR,1
"сверло ц/х ф10,70 Р6М5К5 А1",AG-000194PR,1
"сверло ц/х ф10,80 Р6М5К5 А1",AG-000195PR,1
"сверло ц/х ф10,90 Р6М5К5 А1",AG-000196PR,1
"сверло ц/х ф11,00 Р6М5К5 А1",AG-000197PR,1
"сверло ц/х ф11,10 Р6М5К5 А1",AG-000198PR,1
"сверло ц/х ф11,20 Р6М5К5 А1",AG-000199PR,1
"сверло ц/х ф11,30 Р6М5К5 А1",AG-000200PR,1
"сверло ц/х ф11,40 Р6М5К5 А1",AG-000201PR,1
"сверло ц/х ф11,50 Р6М5К5 А1",AG-000202PR,1
"сверло ц/х ф11,60 Р6М5К5 А1",AG-000203PR,1
"сверло ц/х ф11,70 Р6М5К5 А1",AG-000204PR,1
"сверло ц/х ф11,80 Р6М5К5 А1",AG-000205PR,1
"сверло ц/х ф11,90 Р6М5К5 А1",AG-000206PR,1
"сверло ц/х ф12,00 Р6М5К5 А1",AG-000207PR,1
"сверло ц/х ф12,20 Р6М5К5 А1",AG-000208PR,1
"сверло ц/х ф12,50 Р6М5К5 А1",AG-000209PR,1
"сверло ц/х ф13,00 Р6М5К5 А1",AG-000210PR,1
"сверло ц/х ф13,50 Р6М5К5 А1",AG-000211PR,1
"сверло ц/х ф14,00 Р6М5К5 А1",AG-000212PR,1
"сверло ц/х ф14,50 Р6М5К5 А1",AG-000213PR,1
"сверло ц/х ф15,00 Р6М5К5 А1",AG-000214PR,1
"сверло ц/х ф15,50 Р6М5К5 А1",AG-000215PR,1
"сверло ц/х ф16,00 Р6М5К5 А1",AG-000216PR,1
"сверло ц/х ф16,50 Р6М5К5 А1",AG-000217PR,1
"сверло ц/х ф17,00 Р6М5К5 А1",AG-000218PR,1
"сверло ц/х ф17,50 Р6М5К5 А1",AG-000219PR,1
"сверло ц/х ф18,00 Р6М5К5 А1",AG-000220PR,1
"сверло ц/х ф18,50 Р6М5К5 А1",AG-000221PR,1
"сверло ц/х ф19,00 Р6М5К5 А1",AG-000222PR,1
"сверло ц/х ф19,50 Р6М5К5 А1",AG-000223PR,1
"сверло ц/х ф20,00 Р6М5К5 А1",AG-000224PR,1
"сверло ц/х ф0,5 шлиф.",AG-000195CL,10
"сверло ц/х ф0,6 шлиф.",AG-000196CL,10
"сверло ц/х ф0,7 шлиф.",AG-000197CL,10
"сверло ц/х ф0,8 шлиф.",AG-000198CL,10
"сверло ц/х ф0,9 шлиф.",AG-000199CL,10
"сверло ц/х ф1,0 шлиф.",AG-000200CL,10
"сверло ц/х ф1,0 шлиф. левое",AG-000201CL,10
"сверло ц/х ф1,1 шлиф.",AG-000202CL,10
"сверло ц/х ф1,2 шлиф.",AG-000203CL,10
"сверло ц/х ф1,3 шлиф.",AG-000204CL,10
"сверло ц/х ф1,4 шлиф.",AG-000205CL,10
"сверло ц/х ф1,5 шлиф.",AG-000206CL,10
"сверло ц/х ф1,5 шлиф. левое",AG-000207CL,10
"сверло ц/х ф1,6 шлиф.",AG-000208CL,10
"сверло ц/х ф1,7 шлиф.",AG-000209CL,10
"сверло ц/х ф1,8 шлиф.",AG-000210CL,10
"сверло ц/х ф1,9 шлиф.",AG-000211CL,10
"сверло ц/х ф2,0 шлиф.",AG-000212CL,10
"сверло ц/х ф2,0 шлиф. левое",AG-000213CL,10
"сверло ц/х ф2,1 шлиф.",AG-000214CL,10
"сверло ц/х ф2,2 шлиф.",AG-000215CL,10
"сверло ц/х ф2,3 шлиф.",AG-000216CL,10
"сверло ц/х ф2,4 шлиф.",AG-000217CL,10
"сверло ц/х ф2,5 шлиф.",AG-000218CL,10
"сверло ц/х ф2,5 шлиф. левое",AG-000219CL,10
"сверло ц/х ф2,6 шлиф.",AG-000220CL,10
"сверло ц/х ф2,7 шлиф.",AG-000221CL,10
"сверло ц/х ф2,8 шлиф.",AG-000222CL,10
"сверло ц/х ф2,9 шлиф.",AG-000223CL,10
"сверло ц/х ф3,0 шлиф.",AG-000224CL,10
"сверло ц/х ф3,0 шлиф. левое",AG-000225CL,10
"сверло ц/х ф3,1 шлиф.",AG-000226CL,10
"сверло ц/х ф3,2 шлиф.",AG-000227CL,10
"сверло ц/х ф3,2 шлиф. левое",AG-000228CL,10
"сверло ц/х ф3,3 шлиф.",AG-000229CL,10
"сверло ц/х ф3,4 шлиф.",AG-000230CL,10
"сверло ц/х ф3,5 шлиф.",AG-000231CL,10
"сверло ц/х ф3,5 шлиф. левое",AG-000232CL,10
"сверло ц/х ф3,6 шлиф.",AG-000233CL,10
"сверло ц/х ф3,7 шлиф.",AG-000234CL,10
"сверло ц/х ф3,8 шлиф.",AG-000235CL,10
"сверло ц/х ф3,9 шлиф.",AG-000236CL,10
"сверло ц/х ф4,0 шлиф.",AG-000237CL,10
"сверло ц/х ф4,0 шлиф. левое",AG-000238CL,10
"сверло ц/х ф4,1 шлиф.",AG-000239CL,10
"сверло ц/х ф4,2 шлиф.",AG-000240CL,10
"сверло ц/х ф4,2 шлиф. левое",AG-000241CL,10
"сверло ц/х ф4,3 шлиф.",AG-000242CL,10
"сверло ц/х ф4,4 шлиф.",AG-000243CL,10
"сверло ц/х ф4,5 шлиф.",AG-000244CL,10
"сверло ц/х ф4,5 шлиф. левое",AG-000245CL,10
"сверло ц/х ф4,6 шлиф.",AG-000246CL,10
"сверло ц/х ф4,7 шлиф.",AG-000247CL,10
"сверло ц/х ф4,8 шлиф.",AG-000248CL,10
"сверло ц/х ф4,9 шлиф.",AG-000249CL,10
"сверло ц/х ф5,0 шлиф.",AG-000250CL,10
"сверло ц/х ф5,0 шлиф. левое",AG-000251CL,10
"сверло ц/х ф5,1 шлиф.",AG-000252CL,10
"сверло ц/х ф5,2 шлиф.",AG-000253CL,10
"сверло ц/х ф5,3 шлиф.",AG-000254CL,10
"сверло ц/х ф5,4 шлиф.",AG-000255CL,10
"сверло ц/х ф5,5 шлиф.",AG-000256CL,10
"сверло ц/х ф5,5 шлиф. левое",AG-000257CL,10
"сверло ц/х ф5,6 шлиф.",AG-000258CL,10
"сверло ц/х ф5,7 шлиф.",AG-000259CL,10
"сверло ц/х ф5,8 шлиф.",AG-000260CL,10
"сверло ц/х ф5,9 шлиф.",AG-000261CL,10
"сверло ц/х ф6,0 шлиф.",AG-000262CL,10
"сверло ц/х ф6,0 шлиф. левое",AG-000263CL,10
"сверло ц/х ф6,1 шлиф.",AG-000264CL,10
"сверло ц/х ф6,2 шлиф.",AG-000265CL,10
"сверло ц/х ф6,3 шлиф.",AG-000266CL,10
"сверло ц/х ф6,4 шлиф.",AG-000267CL,10
"сверло ц/х ф6,5 шлиф.",AG-000268CL,10
"сверло ц/х ф6,5 шлиф. левое",AG-000269CL,10
"сверло ц/х ф6,6 шлиф.",AG-000270CL,10
"сверло ц/х ф6,7 шлиф.",AG-000271CL,10
"сверло ц/х ф6,8 шлиф.",AG-000272CL,10
"сверло ц/х ф6,9 шлиф.",AG-000273CL,10
"сверло ц/х ф7,0 шлиф.",AG-000274CL,10
"сверло ц/х ф7,0 шлиф. левое",AG-000275CL,10
"сверло ц/х ф7,1 шлиф.",AG-000276CL,10
"сверло ц/х ф7,2 шлиф.",AG-000277CL,10
"сверло ц/х ф7,3 шлиф.",AG-000278CL,10
"сверло ц/х ф7,4 шлиф.",AG-000279CL,10
"сверло ц/х ф7,5 шлиф.",AG-000280CL,10
"сверло ц/х ф7,5 шлиф. левое",AG-000281CL,10
"сверло ц/х ф7,6 шлиф.",AG-000282CL,10
"сверло ц/х ф7,7 шлиф.",AG-000283CL,10
"сверло ц/х ф7,8 шлиф.",AG-000284CL,10
"сверло ц/х ф7,9 шлиф.",AG-000285CL,10
"сверло ц/х ф8,0 шлиф.",AG-000286CL,10
"сверло ц/х ф8,0 шлиф. левое",AG-000287CL,10
"сверло ц/х ф8,1 шлиф.",AG-000288CL,5
"сверло ц/х ф8,2 шлиф.",AG-000289CL,5
"сверло ц/х ф8,3 шлиф.",AG-000290CL,5
"сверло ц/х ф8,4 шлиф.",AG-000291CL,5
"сверло ц/х ф8,5 шлиф.",AG-000292CL,5
"сверло ц/х ф8,5 шлиф. левое",AG-000293CL,5
"сверло ц/х ф8,6 шлиф.",AG-000294CL,5
"сверло ц/х ф8,7 шлиф.",AG-000295CL,5
"сверло ц/х ф8,8 шлиф.",AG-000296CL,5
"сверло ц/х ф8,9 шлиф.",AG-000297CL,5
"сверло ц/х ф9,0 шлиф.",AG-000298CL,5
"сверло ц/х ф9,0 шлиф. левое",AG-000299CL,5
"сверло ц/х ф9,1 шлиф.",AG-000300CL,5
"сверло ц/х ф9,2 шлиф.",AG-000301CL,5
"сверло ц/х ф9,3 шлиф.",AG-000302CL,5
"сверло ц/х ф9,4 шлиф.",AG-000303CL,5
"сверло ц/х ф9,5 шлиф.",AG-000304CL,5
"сверло ц/х ф9,5 шлиф. левое",AG-000305CL,5
"сверло ц/х ф9,6 шлиф.",AG-000306CL,5
"сверло ц/х ф9,7 шлиф.",AG-000307CL,5
"сверло ц/х ф9,8 шлиф.",AG-000308CL,5
"сверло ц/х ф9,9 шлиф.",AG-000309CL,5
"сверло ц/х ф10,0 шлиф.",AG-000310CL,5
"сверло ц/х ф10,0 шлиф. левое",AG-000311CL,5
"сверло ц/х ф10,1 шлиф.",AG-000312CL,1
"сверло ц/х ф10,2 шлиф.",AG-000313CL,1
"сверло ц/х ф10,3 шлиф.",AG-000314CL,1
